JIRA ID,Priority,Summary,Main Release,Affected Version,Scrum Team,Team,Number of customers impacted (via linked ZD),Component/Feature,Type of bug,Type of Miss,Depedency on MS,Reason for the regression/Escape bug?,Test Case ,Automation Status,"Internal 
RCA 
Available 
/ Not","External 
RCA 
Available 
/ Not",What is the learning?,Comments ,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,is_e2e_failure
IO-67899,P2,No updates are upserts are going onto SF,2024-01-01,2024-01-01,Titans,Platform,2.0,Salesforce,Escaped bug,,Yes,Imports which use dynamic lookups not working as expected even if oneToMany is true.,New Test Case,Newly Automated,No,No,oneToMany feature needs to be tested in all cases,"Dev mentioned requiredRCA is set to none, so RCA is not done yet",,,,,True
IO-74034,P1,[EU] user is not able to create the Google Sheet exports from marketplace,2024-03-01,2024-03-04,Eirene, UI,1.0,Marketplace,Escaped bug,,No,a corner case which happens when useAsPrimaryInterface is set to true on custom settings,New Test Case,Newly Automated,Yes,Yes,Ensure to have more corner cases,RCA -https://docs.google.com/document/d/1KSoOAwLI5r4yRGDICqv8rCswOMYeAkifnBu33yklY7U/edit?tab=t.0,,,,,True
CS-8210,P3,Flows Stuck and very slow performance. ,2024-04-01,2024-04-01,Stark,Platform,34.0,Infrastructure,Escaped bug,,No,"Celigo observed that multiple jobs were stuck in the waiting queue and with additional data from monitoring tools(splunk), Celigo identified that the issue was being caused by unexpected process kills(called SIGSEGV) and was caused by a specific script.",Test Case Not Available,Not Automated,Yes,Yes,"This is related to infrastructure issue, we need to make sure it wont ffct CPU usage limit"," Internal RCA: https://docs.google.com/document/d/1hty72X6V8OkWgAQ0XXs2MzwMa3Jka6JI/edit

Customer facing RCA : https://docs.google.com/document/d/1GCylRBAf3szU73r1H6l3KMuBT1MWiLX7/edit#heading=h.1fob9te",,,,,True
IO-75848,P1,HTTP - run virtual export || April code changes base we are seeing the parseOutput is giving as an object instead of an array [2D to 1D],2024-04-01,2024-04-03,Falcon,Platform,,HTTP,Escaped bug,,No,Virtual routes were not considered during backward compatibility,New Test Case,Newly Automated,No,No,"Ensure backward compatibility is a standard checklist item for any test planning—especially after major refactors or backend changes.
Adding process where any backward-incompatible change must be flagged clearly to QA with test scenarios to cover.",,,,,,True
IO-82121,P2,On-Premise Agent Crashing,2024-08-01,2024-08-01,Dexter,Core,6.0,Agents,Escaped bug,,No,"Since affected users were running Windows Server 2012 R2 (based on Windows 8), it was suspected as the root cause",New Test Case,,Yes,Yes,"Always include testing on all supported OS versions, especially older ones, which are still widely used.
Maintain an OS compatibility matrix and ensure automation/sanity runs are included for these variants.","RCA Internal: https://docs.google.com/document/d/1F8fllTiYY3Aa6xAUJXqbOGAPuzb2skbatlwNuBOQbwM/edit?tab=t.0#heading=h.j54n67ngobij

RCA by Customer: https://docs.google.com/document/d/1lybaYI_SCz5XL6PNiZRoPorSdFuZ9bnGu5vcY1YZXBs/edit?tab=t.0#heading=h.4qgq6qr26qf",,,,,True
IO-87619,P2,[UX] The connection caret/Search icon is overflowing in the Firefox browser,2024-08-01,2024-08-01,Eirene,UI,,Connections,Escaped bug,,No,The connection filter not overflowing and aligning with flow steps was not tested in Firefox,New Test Case,Newly Automated,No,No,"Browser compatibility of 
firefox and other most used 
browsers should be tested",,,,,,True
IO-87646,P1,[FMS enabled] Observing 400 bad request when we are trying to create ebay(XML) export,2024-07-01,2024-07-04,Tintin,Core,,FMS,Escaped bug,,Yes,Mismatch between UI and backend validation was missed in E2E testing,Test Case Not Available,Not Automated,No,No,"Mismatch between UI and backend validation was missed in E2E testing. In production, with 900-1000 eBay(XML) connections, enabling this backend validation suddenly impacted existing connections, causing server restarts.",,,,,,True
IO-94270,P1,WebSocket Client : Graceful closure in case of termination,2024-09-01,2024-09-01,,Platform,,WebSocket,Escaped bug,,No,"Using ws.terminate() closed the WebSocket connection and typically results in code 1006, indicating an abnormal closure that is not gracefully handled by server.

",Test Case Not Available,Not Automated,No,No,"Miss from dev team.

To ensure a proper shutdown of the connection, we should have used ws.close(1000), which initiates a clean, graceful close handshake with a normal closure status.

The above ensures tests reflect real client behavior and avoid 1006 codes.",,,,,,True
IO-94891,P1,HTTP MS disable cpu profiler flags,2024-08-01,2024-08-03,Indus,Platform,,HTTP,Escaped bug,,Yes,"Production level load was 
not tested in lower environments",Test Case Not Available,Not Automated,No,No,"HTTP MS slowness analysis
was done and analysis was recorded. 
here https://celigo.atlassian.net/wiki/spaces/PE/pages/925040732/Learnings+and+Observations+HTTP+Slowness+Analysis",,,,,,True
IO-94454,P1,"Incorrect response is being returned for /api/integrations/:id/ashares route in ""sharedWithUser"" field when RMS is enabled",2024-09-01,2024-09-01,Skywalker,Core,,RMS,Escaped bug,,Yes,"Scenario was not tested 
with RMS enabled shared user. 
This was an integration testing miss. ",New Test Case,Newly Automated,No,No,"Deeper Access-Level Testing was required. Always validate key flows like ashares, users, permissions under RMS ON/OFF toggles to catch integration mismatches.
This was an integration testing miss. 

This bug caused UI breakage due to backend API returning incorrect data. It’s crucial to ensure API returns all expected fields (even if empty/null) so that UI doesn’t break. Schema validation at API level can prevent this.",,,,,,True
CS-8757,P1,Flows taking time to complete than the normal duration,2024-09-01,,Indus ,Platform,52.0,HTTP,Escaped bug,,Yes,"Caused due to overload on certain pods due to changes.
Performance degradation and slower response times. Enabling consistent hashing led to multiple liveness configuration failures in the HTTP MS.
Change in liveness configuration caused the pods to fail more frequently, led to more and more connections on one particular pod.

The slowness affected ability to process key operations relying on HTTP connections, disrupting business workflows. The specific overloaded server component impacted all HTTP connections and impact was shown in high especially in high workload endpoints like Shopify, Magento & Salesforce which use HTTP connections.
",Test Case Not Available,Not Automated,Yes,Yes,"HTTP MS slowness analysis
was done and analysis was recorded. 
here https://celigo.atlassian.net/wiki/spaces/PE/pages/925040732/Learnings+and+Observations+HTTP+Slowness+Analysis

There needs to be proper visibility into connection-based resource saturation.
Connection-level issues (like increasing open connections or queued requests) needs to be effectively monitored.

Simulating realistic high-concurrency import/export workloads in testing env would be helpful. Using chaos testing or resiliency testing to simulate pod failures and ensure traffic rerouting works as expected.","RCA doc is here 

COE doc is here",,,,,True
IO-97813,P1,Redirection is not happening as expected when we enable the MFA for the shared users,2024-11-01,2024-11-01,Skywalker ,Core,3.0,RMS,Escaped bug,,Yes,"Gap in E2E test coverage involving MFA, shared users and RMS service configuration. 
Limited validation for RMS impact on MFA.

The test strategy likely didn't account for different RMS states (enabled/disabled) affecting behavior differently for new vs existing users that is backward compatibility.",New Test Case,Newly Automated,No,No,"Scenario based E2E tests would help.

Exploratory testing with customer-configured settings would be useful.

Ensure E2E tests cover complex user flows like shared user login with MFA under different backend configurations (RMS enabled/disabled).",RCA in Progress,,,,,True
IO-102861,P1,error: api /v1/connections/:connectionId/proxy WebSocketClientError: The connection to the server was closed unexpectedly.,2024-11-01,2024-11-01,Stark ,Platform,0.0,HTTP,Escaped bug,,Yes,Spike in connection drops because HTTP adaptor was unable to accept requests due to CPU block,Test Case Not Available,Not Automated,No,No,"Sanity on websockets and endpoint-service ( specially in /proxy route ) is done and performed well. When a websocket server has high load ( http-adaptor in this case ), sometimes it is not able to process websocket connection requests. The connection is left in hanging state and dropped after an idle timeout of 1 min on the websocket client side ( endpoint-service ). When connection is dropped, /proxy endpoint call is returned with 500 response code.",RCA Not Available,,,,,True
IO-112193,P1,Unable to create Shopify OAuth Connection in Multi Environments,2025-01-01,2025-01-01,Chipmunks ,Core,8.0,Multi-Environment,Escaped bug,,Yes,"The root cause was identified as an unintended behavior in a newly introduced middleware, designed to enhance multi-environment authentication support. The middleware, which aimed to streamline and improve connection handling, inadvertently misprocessed OAuth headers, causing authentication failures.",Test Case Not Available,Not Automated,Yes,Yes,Enhance Test coverage and find the impacted areas which can only be tested in production and find an alternative way to test those scenarios.   https://docs.google.com/document/d/18B4hwOUKkSUtQxPy-vQgOXAumzcruHveCJ7jg-0RZzY/edit?tab=t.0,RCA : https://docs.google.com/document/d/1C31Tp3XDxDXS9xq--43oHE2B0Ctz_x7v/edit?tab=t.0#heading=h.gjdgxs,,,,,True
IO-112349,P1,Not able to Download the connection debug logs in the multi env accounts,2025-01-01,2025-01-01,Chipmunks ,Core,3.0,Connections,Escaped bug,,Yes,Caused due to January release changes.,Test Case Not Available,Not Automated,No,No,E2E tests cover complex user flows like shared user login with MFA under different backend configurations,RCA is in Progress,,,,,True
IO-105919,P1,[BE] The corresponding ashares are not created in the non-prod envs when an existing user is invited from a prod env.,2024-11-01,,Chipmunks ,Core,0.0,Account Management,Escaped bug,,No,Caused due to January release changes.,Test Case Not Available,Not Automated,No,No,Caused due to January release changes.Basic sanity testing with customer-configured settings would be useful.,RCA is in Progress,,,,,True
IO-61750,,,,,,,,Unknown,,,,"Earlier, only one eTail stack URL was whitelisted using the environment variable ETAIL_STACK_HOST_NAME. However, the customer was encountering a blacklisting error. A fix was made to enhance the code to support multiple stack URLs using the WHITELIST_STACK_HOST_NAMES environment variable",New Test Case,Newly Automated,,,"After every story or defect fix, it's important to identify the impacted areas and test them thoroughly",,,,,,True
IO-62952,,,,,,,,Unknown,,,,"fixed a rare case of hard to reproduce server crash bug in our AS2 connector, while fixing the bug  ended up having a regression which affected MDN verification",New Test Case,Newly Automated,,,"This was an edge case that was hard to reproduce from QA’s end.
For such scenarios, the Dev team should ensure more comprehensive unit test coverage and perform Dev-side testing to avoid regression issue.",RCA,,,,,True
IO-63422,,,,,,,,Unknown,,,,"This is not a bug and this is feedback.this is fixed by another tracker
https://celigo.atlassian.net/browse/IO-64344",New Test Case,Newly Automated,,,Not applicable as this an enhancement request,,,,,,True
IO-63415,,,,,,,,Unknown,,,,This is not a bug and this is feedback.,New Test Case,Newly Automated,,,Not applicable as this an enhancement request,,,,,,True
IO-62995,,,,,,,,Unknown,,,,"issue with Flows patch call, for Custom manage access only",Test Case Not Available,Not Automated,,,"Every defect should have test case added/attached 
and automated as well, to avoid regression issue",,,,,,True
IO-63437,,,,,,,,Unknown,,,,This is not a bug and this is feedback.,New Test Case,Newly Automated,,,Not applicable as this an enhancement request,,,,,,True
IO-63696,,,,,,,,Unknown,,,,"This is a performance issue,specific to few flows",New Test Case,Newly Automated,,,"After every story or defect fix, it's important to identify the impacted areas and test them thoroughly",,,,,,True
IO-64809,,,,,,,,Unknown,,,,Env variables were missed by Dev team as part of RMS.since agent extension calls go via RMS route if RMS is enabled,Existing Case,Not Automated,,,"As a prerequisite, ensure that all environment variables are added","RCA
Core team is working on it to automate the test cases",,,,,True
IO-61581,,,,,,,,Unknown,,,,This issue happens when a service is idle and not receiving any traffic. Its not identified in testing as there was continous traffic while testing and restarts didn’t happen,Test Case Not Available,Not Automated,,,Such scenarios are challenging to cover through test cases and are not easily automatable,,,,,,True
IO-67126,,,,,,,,Unknown,,,,This happened due to FM MS enabled,Test Case Not Available,Not Automated,,,"This happened wrt FM microservice enabled accounts, MS dependency could have been tested with retry errors case","Going forward this may not occur, which are related MS specific as soon, all the users will be routed to MS 100%",,,,,True
IO-67058,,,,,,,,Unknown,,,,"This is same as IO-67126, mentioned above",Test Case Not Available,Not Automated,,,"This is same as IO-67126, mentioned above","This is same as IO-67126, mentioned above",,,,,True
IO-66398,,,,,,,,Unknown,,,,This is an MongoDB Optimization,Test Case Not Available,Not Automated,,,This a DB optimization tracker,,,,,,True
IO-66120,,,,,,,,Unknown,,,,"This is a error classifier, reported by Travis",New Test Case,Newly Automated,,,"Nothing here, Issue related to error classifier, related to Travis.",,,,,,True
CS-8064,,,,,,,,Unknown,,,,The AWS-related resources like SQS endpoints used with HTTP connector is not working with HTTP-MS as it was working with the monolith.,New Test Case,Newly Automated,,,There is a formatting issue while encoding baseURL,https://docs.google.com/document/d/1-aMTcoiXs40hpZwlEM1f0nSIP03LGnJg/edit?tab=t.0,,,,,True
IO-67899,,,,,,,,Unknown,,,,Imports which use dynamic lookups not working as expected even if oneToMany is true.,New Test Case,Newly Automated,,,oneToMany feature needs to be tested in all cases,pinged Nithin Gollapally for RCA details. yet to get update,,,,,True
IO-74034,,,,,,,,Unknown,,,,a corner case which happens when useAsPrimaryInterface is set to true on custom settings,New Test Case,Newly Automated,,,Ensure to have more corner cases,RCA -https://docs.google.com/document/d/1KSoOAwLI5r4yRGDICqv8rCswOMYeAkifnBu33yklY7U/edit?tab=t.0,,,,,True
CS-8210,,,,,,,,Unknown,,,,"Celigo observed that multiple jobs were stuck in the waiting queue and with additional data from monitoring tools(splunk), Celigo identified that the issue was being caused by unexpected process kills(called SIGSEGV) and was caused by a specific script.",Test Case Not Available,Not Automated,,,"This is related to infrastructure issue, we need to make sure it wont ffct CPU usage limit"," Internal RCA: https://docs.google.com/document/d/1hty72X6V8OkWgAQ0XXs2MzwMa3Jka6JI/edit

Customer facing RCA : https://docs.google.com/document/d/1GCylRBAf3szU73r1H6l3KMuBT1MWiLX7/edit#heading=h.1fob9te",,,,,True
IO-75848,,,,,,,,Unknown,,,,Virtual routes were not considered during backward compatibility,New Test Case,Newly Automated,,,"Ensure backward compatibility is a standard checklist item for any test planning—especially after major refactors or backend changes.
Adding process where any backward-incompatible change must be flagged clearly to QA with test scenarios to cover.",,,,,,True
IO-82121,,,,,,,,Unknown,,,,"Since affected users were running Windows Server 2012 R2 (based on Windows 8), it was suspected as the root cause",New Test Case,,,,"Always include testing on all supported OS versions, especially older ones, which are still widely used.
Maintain an OS compatibility matrix and ensure automation/sanity runs are included for these variants.","RCA Internal: https://docs.google.com/document/d/1F8fllTiYY3Aa6xAUJXqbOGAPuzb2skbatlwNuBOQbwM/edit?tab=t.0#heading=h.j54n67ngobij

RCA by Customer: https://docs.google.com/document/d/1lybaYI_SCz5XL6PNiZRoPorSdFuZ9bnGu5vcY1YZXBs/edit?tab=t.0#heading=h.4qgq6qr26qf",,,,,True
IO-87619,,,,,,,,Unknown,,,,The connection filter not overflowing and aligning with flow steps was not tested in Firefox,New Test Case,Newly Automated,,,"Browser compatibility of 
firefox and other most used 
browsers should be tested",,,,,,True
IO-87646,,,,,,,,Unknown,,,,Mismatch between UI and backend validation was missed in E2E testing,Test Case Not Available,Not Automated,,,"Mismatch between UI and backend validation was missed in E2E testing. In production, with 900-1000 eBay(XML) connections, enabling this backend validation suddenly impacted existing connections, causing server restarts.",,,,,,True
IO-94270,,,,,,,,Unknown,,,,"Using ws.terminate() closed the WebSocket connection and typically results in code 1006, indicating an abnormal closure that is not gracefully handled by server.

",Test Case Not Available,Not Automated,,,"Miss from dev team.

To ensure a proper shutdown of the connection, we should have used ws.close(1000), which initiates a clean, graceful close handshake with a normal closure status.

The above ensures tests reflect real client behavior and avoid 1006 codes.",,,,,,True
IO-94891,,,,,,,,Unknown,,,,"Production level load was 
not tested in lower environments",Test Case Not Available,Not Automated,,,"HTTP MS slowness analysis
was done and analysis was recorded. 
here https://celigo.atlassian.net/wiki/spaces/PE/pages/925040732/Learnings+and+Observations+HTTP+Slowness+Analysis",,,,,,True
IO-94454,,,,,,,,Unknown,,,,"Scenario was not tested 
with RMS enabled shared user. 
This was an integration testing miss. ",New Test Case,Newly Automated,,,"Deeper Access-Level Testing was required. Always validate key flows like ashares, users, permissions under RMS ON/OFF toggles to catch integration mismatches.
This was an integration testing miss. 

This bug caused UI breakage due to backend API returning incorrect data. It’s crucial to ensure API returns all expected fields (even if empty/null) so that UI doesn’t break. Schema validation at API level can prevent this.",,,,,,True
CS-8757,,,,,,,,Unknown,,,,"Caused due to overload on certain pods due to changes.
Performance degradation and slower response times. Enabling consistent hashing led to multiple liveness configuration failures in the HTTP MS.
Change in liveness configuration caused the pods to fail more frequently, led to more and more connections on one particular pod.

The slowness affected ability to process key operations relying on HTTP connections, disrupting business workflows. The specific overloaded server component impacted all HTTP connections and impact was shown in high especially in high workload endpoints like Shopify, Magento & Salesforce which use HTTP connections.
",Test Case Not Available,Not Automated,,,"HTTP MS slowness analysis
was done and analysis was recorded. 
here https://celigo.atlassian.net/wiki/spaces/PE/pages/925040732/Learnings+and+Observations+HTTP+Slowness+Analysis

There needs to be proper visibility into connection-based resource saturation.
Connection-level issues (like increasing open connections or queued requests) needs to be effectively monitored.

Simulating realistic high-concurrency import/export workloads in testing env would be helpful. Using chaos testing or resiliency testing to simulate pod failures and ensure traffic rerouting works as expected.","RCA doc is here 

COE doc is here",,,,,True
IO-97813,,,,,,,,Unknown,,,,"Gap in E2E test coverage involving MFA, shared users and RMS service configuration. 
Limited validation for RMS impact on MFA.

The test strategy likely didn't account for different RMS states (enabled/disabled) affecting behavior differently for new vs existing users that is backward compatibility.",New Test Case,Newly Automated,,,"Scenario based E2E tests would help.

Exploratory testing with customer-configured settings would be useful.

Ensure E2E tests cover complex user flows like shared user login with MFA under different backend configurations (RMS enabled/disabled).",RCA in Progress,,,,,True
IO-102861,,,,,,,,Unknown,,,,Spike in connection drops because HTTP adaptor was unable to accept requests due to CPU block,Test Case Not Available,Not Automated,,,"Sanity on websockets and endpoint-service ( specially in /proxy route ) is done and performed well. When a websocket server has high load ( http-adaptor in this case ), sometimes it is not able to process websocket connection requests. The connection is left in hanging state and dropped after an idle timeout of 1 min on the websocket client side ( endpoint-service ). When connection is dropped, /proxy endpoint call is returned with 500 response code.",RCA Not Available,,,,,True
IO-112193,,,,,,,,Unknown,,,,"The root cause was identified as an unintended behavior in a newly introduced middleware, designed to enhance multi-environment authentication support. The middleware, which aimed to streamline and improve connection handling, inadvertently misprocessed OAuth headers, causing authentication failures.",Test Case Not Available,Not Automated,,,Enhance Test coverage and find the impacted areas which can only be tested in production and find an alternative way to test those scenarios.   https://docs.google.com/document/d/18B4hwOUKkSUtQxPy-vQgOXAumzcruHveCJ7jg-0RZzY/edit?tab=t.0,RCA : https://docs.google.com/document/d/1C31Tp3XDxDXS9xq--43oHE2B0Ctz_x7v/edit?tab=t.0#heading=h.gjdgxs,,,,,True
IO-112349,,,,,,,,Unknown,,,,Caused due to January release changes.,Test Case Not Available,Not Automated,,,E2E tests cover complex user flows like shared user login with MFA under different backend configurations,RCA is in Progress,,,,,True
IO-105919,,,,,,,,Unknown,,,,Caused due to January release changes.,Test Case Not Available,Not Automated,,,Caused due to January release changes.Basic sanity testing with customer-configured settings would be useful.,RCA is in Progress,,,,,True
