issueKey,summary,created,resolved,status,priority,severity,labels,components,Bug Detection Phase,linked_pr_number,is_escaped_defect
IO-143839,"MS SQL Import(""SQL query once per record""): Import response data not passed to response mapping",2025-08-22T11:43:47.000+0530,,Open,P3,S3,,Mapping,Production/Escaped (Customer),,True
IO-143828,Incorrect source for Snowflake Auth errors,2025-08-22T10:39:59.185+0530,,Open,P4,S3,slackReported,DB Adaptor,Production/Escaped (Internal),,True
IO-143819,Access Denied error from NetSuite,2025-08-22T10:21:40.753+0530,,Analysis,P1,S1,jira_escalated,NetSuite Adaptor (Node.js),Production/Escaped (Customer),,True
IO-143809,"System-apis Pods are unhealthy, QA Environment",2025-08-22T09:20:45.916+0530,,Analysis,P2,S1,,Core,Service-level Test,,False
IO-143789,AE - Rapid port switching,2025-08-21T19:46:48.577+0530,,Open,P4,S2,,On-Premise Agent,Component Test,,False
IO-143768,Upload is failing for integration tab,2025-08-21T17:24:08.012+0530,,Open,P2,S2,,UI,Exploratory Test,,False
IO-143765,"[DI Staging] The string array ( premitive array types) load flow to Snowflake is failing, as it failed to run the bulk load query. Err: Error parsing JSON: manual",2025-08-21T16:58:30.774+0530,,Open,P2,S2,,DI,Regression/PST Test,,False
IO-143750,[DI QA] Export mode syncs are failing with error body.dataset is requred,2025-08-21T15:03:18.368+0530,,Analysis,P4,S4,,DI,Regression/PST Test,,False
IO-143749,"When we invite a user, the Sign in to Celigo button is not working as expected, Email",2025-08-21T14:54:36.538+0530,,Open,P2,S2,,Core,Service-level Test,,False
IO-143737,[DI UI] New connection and new export is created for new connection the export is not appearing in the list of exports,2025-08-21T14:11:41.675+0530,,Open,P4,S3,,DI,Regression/PST Test,,False
IO-143736,Scroll should not be present in marketplace root,2025-08-21T13:54:43.140+0530,,Open,P3,S3,,UI - Usability,Component Test,,False
IO-143728,<QA Env>: 422 status code with exception SyntaxError: Unexpected strict mode reserved word\ for /initChild API call,2025-08-21T12:45:35.777+0530,,Open,P2,S3,,Core,Regression/PST Test,,False
IO-143709,Uncaught Exceptions over Prod NA - Cannot read properties of undefined (reading 'endRealtimeJobDone'),2025-08-21T11:38:10.287+0530,,Analysis,P1,S1,E2E;ReportedByE2E,Core-Workers,Production/Escaped (Internal),,True
IO-143701,Prod: /imports/*/invoke is not working when we have agent dependency and invoked directly via BE,2025-08-21T11:12:05.670+0530,,In Progress,P1,S1,jira_escalated,Adaptor,Production/Escaped (Customer),,True
IO-143698,[DI UI Staging] Netsuite Edit sync getting error on save when user unselects a datasets and selects a different dataset,2025-08-21T11:07:05.817+0530,,Open,P4,S3,,DI,Regression/PST Test,,False
IO-143691,Adding logs to debug CS-9567,2025-08-21T10:57:49.633+0530,,Pending deployment,P1,S2,jira_escalated,Core-RMS,Production/Escaped (Customer),,True
IO-143689," Prod: Getting source: 'application',   code: 's3_download_failed' for flows/*/export/preview",2025-08-21T10:31:01.291+0530,,Open,P2,S2,,Adaptor,Production/Escaped (Internal),,True
IO-143688,Getting 500 server error while hitting webhook api /v1/exports/:id/data,2025-08-21T10:27:19.186+0530,,Open,P1,S2,,Core,Deep Functional Test,,False
IO-143685,Remove celigo specific headers from api-execution logs from both request and response,2025-08-21T10:15:41.796+0530,,Open,P3,S3,,Core-API-Builder,Exploratory Test,,False
IO-143670,"A new Pinecone index is created for each instance without reusing existing ones or performing cleanup, leading to resource overhead.",2025-08-20T21:07:53.237+0530,,Open,P3,S2,,AI/ML - BE,Deep Functional Test,,False
IO-143663,The code ai_response.get('response')['operations'] can cause a crash when response is None,2025-08-20T19:08:57.219+0530,,Open,P2,S2,,AI/ML - BE,Deep Functional Test,,False
IO-143662,Fix Connection blockage when AutoRetry RateLimit errors,2025-08-20T19:05:44.381+0530,,Open,P2,S2,,Core-Workers,Production/Escaped (Customer),,True
IO-143658,"A successful retry does not pass through next steps when enabled ""Proceed to next application regardless"" immediately after a flow step",2025-08-20T17:18:12.444+0530,,Analysis,P2,S2,jira_escalated,Errors / Dashboard,Post Deployment,,False
IO-143634,[UI] AFE auto suggestions drop-down is getting opened in the background,2025-08-20T15:09:47.128+0530,,Analysis,P2,S2,,UI,Production/Escaped (Internal),,True
IO-143615,api-execution: Wrong FLET collection,2025-08-20T12:24:37.924+0530,2025-08-20T12:31:00.904+0530,Pending Release,P1,S1,,Core,Production/Escaped (Internal),,True
IO-143609,MongoDB Driver upgrade is not working as expected.,2025-08-20T11:45:39.710+0530,,Open,P2,S2,,DB Adaptor,UAT,,False
IO-143581,"The Override delta date format input field and the Use custom format button are not aligned properly, causing a UI inconsistency.",2025-08-20T10:11:30.304+0530,,Ready for QA,P3,S3,,UI,Component Test,,False
IO-143580,Log enhancements in flow branching code,2025-08-20T10:08:29.800+0530,,Pending deployment,P2,S2,,Core-Workers,Production/Escaped (Internal),,True
IO-143557,user is not able to merge an unmerged branched between two branches in both api builder and flowbuilder,2025-08-19T21:52:53.960+0530,,Open,P2,S2,,UI,Component Test,,False
IO-143550,"[UX] Branch names are not visible for Response picker, API Builder",2025-08-19T21:11:20.916+0530,,Open,P2,S2,,UI,Service-level Test,,False
IO-143549,Integrator-system-workers are not starting up in the QA environment,2025-08-19T20:57:52.673+0530,,Ready for QA,P1,S1,,Core,Service-level Test,,False
IO-143545,Unexpected Crash in Production NA Around 5 PM (19th Aug) and 20th Aug – More than 12 events of JavaScript Out of Memory Error (Workers),2025-08-19T18:58:35.241+0530,,Analysis,P1,S1,E2E;ReportedByE2E,Core-Workers,Production/Escaped (Customer),,True
IO-143540,[rollout-engine] periodic analysis doesn't trigger until the next_run time is achieved when we restart the engine,2025-08-19T17:46:34.353+0530,,Open,P2,S3,,Release Management,System Test/E2E,,False
IO-143491,"Salesforce Export (SOAP) fails with ""invalid getNext call"" error after fetching 4000 records",2025-08-19T14:39:11.129+0530,,Analysis,P2,S1,,Adaptor,Deep Functional Test,,False
IO-143482,QA: CastError: Cast to ObjectId failed for value>> BSONError: Argument passed in must be a string of 12 bytes or a string of 24 hex characters or an integer,2025-08-19T13:34:13.276+0530,,Open,P2,S2,,Adaptor,Component Test,,False
IO-143481,[SuiteApp]: entity fields are missing in response of Bill Payment record type NetSuite listener export ,2025-08-19T13:31:12.625+0530,,Analysis,P2,S3,jira_escalated,NetSuite Adaptor (SuiteScript),Production/Escaped (Customer),,True
IO-143479,TypeError: adaptor.getMapper is not a function,2025-08-19T13:20:43.803+0530,,Open,P2,S2,,Adaptor,Component Test,,False
IO-143478,QA: TypeError: Cannot read properties of null (reading 'type'),2025-08-19T13:06:38.349+0530,,Open,P2,S2,,Adaptor,Component Test,,False
IO-143477,"[DI Staging] Netsuite Saved search to snowflake Sync is failing at load step with error ""PHONE: String contains alpha characters""",2025-08-19T13:01:44.183+0530,,Open,P4,S3,,DI,Regression/PST Test,,False
IO-143475,QA: EP pod restarts: TypeError: processedDateMoment.format is not a function,2025-08-19T12:56:28.177+0530,,Open,P2,S1,,Adaptor,Component Test,,False
IO-143463,Create v1 route for /accessScope/:modelPlural/:__modelId,2025-08-19T11:36:02.953+0530,,Open,P2,S2,,Core-API-Builder,Unit Test,,False
IO-143456,Installation is failing for VPM while verifying Celigo Vendor Payment Manager bundle,2025-08-19T11:23:39.297+0530,2025-08-22T20:55:24.503+0530,Pending Release,P1,S3,Impacting_IA_By_IO_Bug,Adaptor,Production/Escaped (Internal),,True
IO-143436,Connection is blocked indefinitely because of Auto Recovery RateLimit errors,2025-08-19T10:26:13.960+0530,,QA Validation,P1,S2,Stabilization;Tech_Debt,Core-Workers,Production/Escaped (Customer),,True
IO-143421,[Copilot] Suggestions are not visible in a few pages.,2025-08-18T22:54:00.392+0530,,In Progress,P2,S2,,UI - AI/ML,Integration Test,,False
IO-143420,[Copilot] App crash upon asking query [Can you show me how to code for handlebar],2025-08-18T22:50:40.589+0530,2025-08-21T12:23:20.769+0530,Pending Release,P1,S1,,UI - AI/ML,Integration Test,,False
IO-143419,Merge Hotfix : Wrong FLET collection,2025-08-18T21:47:56.490+0530,,Analysis,P2,S1,,Core,Production/Escaped (Customer),,True
IO-143411,"[Copilot] Unable to perform any actions on the Copilot panel when any forms(export, import, etc) are opened.",2025-08-18T18:24:39.731+0530,,Analysis,P2,S2,,UI - AI/ML,Integration Test,,False
IO-143370,S3 / FTP json files escaped as HTML,2025-08-18T16:44:59.530+0530,,Analysis,P2,S3,jira_escalated,File Definitions,Production/Escaped (Customer),,True
IO-143369,Aug Release - Monitor zangabee/Boconcept and prod users/flows in prod,2025-08-18T16:40:32.395+0530,,In Progress,P4,S3,,On-Premise Agent,Exploratory Test,,False
IO-143367,Check if qgmw is marking agents online,2025-08-18T16:38:10.762+0530,,Analysis,P2,S3,,On-Premise Agent,Exploratory Test,,False
IO-143355,IO UI code allows image src download from any source ,2025-08-18T14:18:18.500+0530,,Ready for QA,P4,S3,,UI,Deep Functional Test,,False
IO-143354,Wrong FLET collection,2025-08-18T14:01:21.090+0530,,Ready for QA,P1,S1,,Core,Production/Escaped (Customer),,True
IO-143325,<QA.staging Env>: RMS PODS are failing in QA.staging env with error: KafkaJSError: The 'ssl' property seems to be a KafkaJS property in the main config block,2025-08-18T10:43:55.671+0530,2025-08-18T15:23:23.563+0530,Pending Release,P1,S1,,Core,System Test/E2E,,False
IO-143322,"[QA.Staging] Observing {“message”:“Region is missing”,“name”:“Error”} for QGMW",2025-08-18T09:20:09.502+0530,,In Progress,P1,S1,,Core,Post Deployment,,False
IO-143311,"[IA FLOWS] Closing flow/integration button is not working fine, upon opening hooks and closing it.",2025-08-16T14:15:59.889+0530,,Open,P2,S2,,UI,,,False
IO-143310,Multiple calls are being made to fetch job details on integration level when the respective integration has flow with multiple exports,2025-08-16T14:03:09.323+0530,,Open,P2,S2,slackReported,UI,Component Test,,False
IO-143305,[JOB=Util2] TypeError: kafkaUtil.createJobEvent is not a function 2025.9.1-fb-node22,2025-08-14T20:19:05.154+0530,,Open,P2,S2,,Adaptor,Unit Test,,False
IO-143302,"In multipart/form-data uploads, application/pdf is overridden to application/octet-stream, causing PDF imports to fail with an invalid file format error.",2025-08-14T19:03:14.861+0530,,Open,P2,S2,jira_-_netsuite_connector;jira_escalated,HTTP Adaptor,Production/Escaped (Customer),,True
IO-143282,flows can be accessible from any integration through UI address bar even though flow is not part of that integration,2025-08-14T15:06:08.936+0530,,Open,P2,S3,,UI - Flow Builder,Exploratory Test,,False
IO-143267,"HTTP-Adaptor || POST /imports and POST /exports accept invalid field types (object vs. array) — should return 422, not 201",2025-08-14T12:32:13.523+0530,,Open,P3,S3,GoldenDataSet,Adaptor,Unit Test,,False
IO-143266,Some flows cancel icon is showing for ever ,2025-08-14T12:07:02.821+0530,,On hold,P3,S3,prodExist,UI - Usability,Exploratory Test,,False
IO-143265,HTTP-Adaptor || POST /imports accepts payloads with missing required fields — returns 201 instead of 422,2025-08-14T12:01:58.975+0530,,Open,P3,S3,GoldenDataSet,Adaptor,Unit Test,,False
IO-143177,We are able to view the application name as wrong in the discovery api for the application name as microsoftsharepoint but in the import call it is coming as sharepoint,2025-08-14T10:57:49.668+0530,,Analysis,P2,S2,,Core,Service-level Test,,False
IO-143176,Validation failed [POST] Update (/api or /v1)/:modelPlural ,2025-08-14T10:51:03.885+0530,2025-08-25T10:34:26.294+0530,Pending Release,P2,S2,,Core-API-Builder,Service-level Test,,False
IO-143099,Audit slow + incorrect query,2025-08-13T19:41:30.761+0530,,Analysis,P2,S1,,API (api.integrator.io),Production/Escaped (Internal),,True
IO-143084,"The user is encountering a ""not_supported"" error message when using both static and dynamic lookup for MSSQL import with connection having agent..",2025-08-13T16:54:52.069+0530,,Open,P1,S2,jira_escalated,DB Adaptor,Integration Test,,False
IO-143077,"on NEW UI, + icon is getting overlapped upon switching from old ui to new ui",2025-08-13T15:56:58.443+0530,,Open,P2,S2,newFlowBuilderUI;slackReported,UI,Production/Escaped (Internal),,True
IO-143027,"[Prod-NA] Getting ""Error issuing heartbeat call: Unable to perform operation using terminated connection."" logs on dwh",2025-08-13T13:06:58.537+0530,,Open,P2,S3,,DB Adaptor,Production/Escaped (Internal),,True
IO-143011,"[QA] -The import process is not displaying the actual error messages; instead, it is showing ""Ignore Errors."" ",2025-08-13T12:29:52.671+0530,,Analysis,P2,S2,ReportedByAutomation,Core,Integration Test,,False
IO-143009,"Remove ""View Debug Logs"" option from Async Helper Exports until functionality is supported",2025-08-13T12:28:19.013+0530,,Open,P2,S2,jira_escalated,UI,Component Test,,False
IO-143007,"QA Prod | Integrator Workers | logName=fatalError, type=uncaughtException, message=Error occurred while reading server.log.2025-08-08-T02: ENOENT: no such file or directory observed",2025-08-13T12:10:30.143+0530,,Open,P1,S1,WorkerMS,Core-Workers,Integration Test,,False
IO-142912,"Observing this error s3_error occurred during stream processing. Error Code: TimeoutError, Error Message: Connection timed out after 600000ms for http-adaptor in splunk",2025-08-12T19:07:57.295+0530,,Open,P2,S2,,HTTP Adaptor,Integration Test,,False
IO-142911,AI-generated Flow Descriptions are slow to load and difficult for users to read (too long in single paragraph impacting readability and not user-friendly),2025-08-12T19:07:08.857+0530,,Open,P2,S2,E2E;PST;ReportedByE2E,AI/ML - BE,Regression/PST Test,,False
IO-142908,Search bar in dropdown is hidden in Advanced Settings (Staging) while testing IA's (CAM) ,2025-08-12T19:00:07.553+0530,2025-08-13T15:18:22.428+0530,Pending Release,P2,S2,E2E;PST;ReportedByE2E,UI,Regression/PST Test,,False
IO-142693,"Incorrect mapping of [null] as ""[null]"" instead of ""null"" for string output",2025-08-12T15:58:27.386+0530,,In Progress,P2,S2,jira_escalated;slackReported,Adaptor,Production/Escaped (Customer),,True
IO-142662,Travis | [integrator-adaptor] |  Fix Adaptor tests - Job2/Job17,2025-08-12T15:41:53.084+0530,,Open,P3,S2,,DB Adaptor;HTTP Adaptor,,,False
IO-142557,NSAW bulkload Returning Reject Limit Reached Error For Other Data Type Issue,2025-08-12T14:14:32.373+0530,,Open,P2,S2,,DB Adaptor,Integration Test,,False
IO-142505,503 error in answer API,2025-08-12T12:26:14.219+0530,,Open,P2,S3,,AI/ML - BE,Production/Escaped (Internal),,True
IO-142383,TypeError: Cannot read properties of undefined (reading 'destroy'),2025-08-12T10:36:42.369+0530,2025-08-25T10:26:14.961+0530,Pending Release,P2,S2,,Adaptor,Unit Test,,False
IO-142378,'*' symbol is not coming for password under MSSQL connection,2025-08-12T10:25:02.979+0530,,Open,P3,S3,,UI - Usability,Regression/PST Test,,False
IO-142277,"[Webhooks Connector] Able to create a webhooks using API, without verify schema fields. BE should consider those fields as mandatory.  ",2025-08-11T23:57:41.116+0530,,Open,P3,S3,Adaptor;GoldenDataSet;Webhook-BE,Connector,Production/Escaped (Internal),,True
IO-142269,"[Transform Rules] No null check on the transform.expression.rulesTwoDotZero.mappings, causing 500 server error when passing ""null"" either while creating or updating the export",2025-08-11T23:22:04.241+0530,,Open,P3,S3,Adaptor;GoldenDataSet;NeedsPMPrioritization,Adaptor,Production/Escaped (Internal),,True
IO-142265,"[File Definitions] Getting 500 Server error, when creating new File Defintion, but with null value on few fields.",2025-08-11T22:58:02.203+0530,,Open,P2,S3,EDI;GoldenDataSet,EDI,Production/Escaped (Internal),,True
IO-142255,"[Error classifier] Following error messages don't return ""Intermittent"" classification",2025-08-11T20:08:12.583+0530,,Open,P2,S2,,Core,Service-level Test,,False
IO-142227,"""Select Stack"" button does not display stack options during integration installation from ZIP",2025-08-11T19:21:09.122+0530,2025-08-12T16:49:09.001+0530,Pending Release,P2,S2,ReportedByAutomation,UI,Regression/PST Test,,False
IO-142225,"[HTTP 2.0] Getting 500 Server error, when creating new httpconnector, but with null value on few fields. ",2025-08-11T19:14:45.940+0530,,Open,P2,S2,GoldenDataSet;HTTPConnectorFramework,Connector framework,Production/Escaped (Internal),,True
IO-142221,[DI UI Staging]Unable to open sync integrations from UI for a user not rolled out with canary versions,2025-08-11T18:36:37.525+0530,,Open,P4,S3,,DI,Regression/PST Test,,False
IO-141939,Identify root cause for healthCheckFail and readinessCheckFail in KCG MS,2025-08-11T11:30:17.596+0530,,Open,P3,S3,,Core-kcgw-error-mgt,Unit Test,,False
IO-141876,"Boolean fields ""asynchronus"", ""oneToMany"", and ""sandbox"" incorrectly accept strings in Export API",2025-08-11T08:28:37.179+0530,,Open,P3,S3,GoldenDataSet;Schema,Export Panel,Deep Functional Test,,False
IO-141791,Need to update default placeholder to make it user friendly ,2025-08-08T17:26:34.959+0530,,Open,P3,S3,,UI - Usability,UAT,,False
IO-141771,Check why system-workers load drops to NaN sometimes,2025-08-08T16:33:34.028+0530,,Open,P2,S3,,Core-System-Queues,Exploratory Test,,False
IO-141718,App crash for user in handlebar screen,2025-08-08T12:08:23.634+0530,,Ready for QA,P2,S2,slackReported,UI,Production/Escaped (Internal),,True
IO-141711,we are sending APIM emails to all users,2025-08-08T10:54:43.550+0530,,Blocked,P2,S2,,Core,Integration Test,,False
IO-141684,duplicate key mutex error in child job creation,2025-08-07T17:01:34.631+0530,,Open,P2,S2,,Core-Workers,Production/Escaped (Internal),,True
IO-141614,Upgrade axios in authentication-service,2025-08-07T11:06:03.590+0530,,Open,P2,S1,,Core,Service-level Test,,False
IO-141610,Cannot read properties of undefined (reading 'filter'),2025-08-07T10:51:37.989+0530,,Analysis,P2,S2,WorkerMSMonitoring,Core-Workers,Production/Escaped (Internal),,True
IO-141568,Default placeholder needs to be present for combobox,2025-08-06T23:04:55.226+0530,2025-08-11T12:58:02.273+0530,Pending Release,P3,S3,NDSInconsistencies,UI - Usability,Service-level Test,,False
IO-141481,OAuth2 Connection Ping Returns 200 Instead of 422 for Malformed or Corrupted Payload,2025-08-06T17:24:39.818+0530,,Open,P3,S3,GoldenDataSet;HTTPAdaptor,Adaptor,Unit Test,,False
IO-141473,Invalid String Values Accepted for Boolean Connection Properties enableMicroBatchForOneToMany and enableCsvObjectParsing,2025-08-06T16:48:57.963+0530,,Open,P3,S3,GoldenDataSet;Schema,Adaptor,Unit Test,,False
IO-141451,Closing Flow Builder navigates to Home Page instead of Integration Page when accessed via direct URL,2025-08-06T15:22:12.487+0530,2025-08-11T09:09:26.740+0530,Pending Release,P2,S2,ReportedByAutomation,UI,Automation Test,,False
IO-141446,Fix Vulnerabilities  in authentication-service coming from integrator-models,2025-08-06T15:08:45.186+0530,,Open,P2,S1,,Core,Service-level Test,,False
IO-141435,Salesforce import accepts sObjectType as null without validation,2025-08-06T14:08:51.755+0530,,Analysis,P3,S3,GoldenDataSet;SalesforceAdaptor,Salesforce Adaptor (Node.js),Deep Functional Test,,False
IO-141428,Has to throw proper error message when we make a GET call with different export/import ID  to /exports/:_exportId?mergeInstanceFlowId=<_instanceFlowId> route,2025-08-06T13:27:54.705+0530,,Open,P2,S2,,Core,Service-level Test,,False
IO-141420,HTTP connectors | API version field appears blank after re-authorizing the connection with a different Version,2025-08-06T12:04:46.465+0530,,In Progress,P2,S2,Assistant2.0;jira_-_netsuite_connector;jira_escalated;slackReported,UI,Production/Escaped (Customer),,True
IO-141352,"[NSFP] No UI validation on the field netsuite.folderInternalId, accepting the values even other than a Number",2025-08-06T00:16:53.914+0530,,Open,P2,S2,GoldenDataSet;NSWA,UI;UI - Usability,Production/Escaped (Internal),,True
IO-141347,[BE] The system returns suggestions or responses that are irrelevant to the current context ,2025-08-05T20:27:47.910+0530,,Open,P2,S2,,AI/ML - BE,Integration Test,,False
IO-141345,Search is not showing for list for few dropdowns,2025-08-05T19:55:52.082+0530,2025-08-07T13:54:44.099+0530,Pending Release,P2,S2,ReportedByAutomation;regression,UI - Usability,Automation Test,,False
IO-141309,"[FMS] Getting 204 response code for route integrations/:_id/errors for an integration which has 0 flows, but response also contain ""etag"", which is contradicting the response formation",2025-08-05T15:14:29.857+0530,,Open,P3,S3,GoldenDataSet;fms,Core-FMS,Production/Escaped (Internal),,True
IO-141296,"JSON export preview resets resourcePath from ""*"" to empty string ("""") after saving plain JSON file",2025-08-05T14:24:36.846+0530,,Open,P3,S3,,UI,Production/Escaped (Internal),,True
IO-141286,m=Health check error: Connection could not be established. Target service might be inactive.,2025-08-05T14:02:39.661+0530,,Pending deployment,P2,S2,,Adaptor,Production/Escaped (Internal),,True
IO-141285,Improper error handling when mapping.fields is not an array in import creation from BE,2025-08-05T13:59:21.477+0530,,Open,P3,S3,Adaptor;GoldenDataSet,Mapping,Production/Escaped (Internal),,True
IO-141282,m=Health check error: Converting circular structure to JSON,2025-08-05T13:47:43.254+0530,,Pending deployment,P2,S2,,Adaptor,Production/Escaped (Internal),,True
IO-141280,[MSSQL] [customer specific issue] Failed to connect to BCSQL02:1433 - Could not connect (sequence) ,2025-08-05T13:44:56.621+0530,,Analysis,P2,S2,jira_escalated,DB Adaptor,Production/Escaped (Customer),,True
IO-141275,"[RMS] Across all the collections, though any node accepts the array field, if we send a object w/o an array, IO is still accepting the payload and creating it as an array with single object",2025-08-05T13:04:15.123+0530,,Analysis,P3,S3,GoldenDataSet;RMS,Core-RMS,Production/Escaped (Internal),,True
IO-141271,[integrator-qgmw] Travis JOB-3 test case failures,2025-08-05T12:46:27.313+0530,,Open,P2,S2,,Core-Workers,Unit Test,,False
IO-141242,[Hotfix] Revert changes specific for timestamp changes (IO-92671) on rdbms-adaptor,2025-08-05T11:24:25.805+0530,2025-08-06T21:35:22.304+0530,Released,P1,S2,,DB Adaptor,Production/Escaped (Customer),,True
IO-141227,Resizing the Rules section using the handlebar causes the section’s content to shift unexpectedly,2025-08-05T09:04:46.839+0530,,Analysis,P3,S2,,UI,System Test/E2E,,False
IO-141214,"[Trading Partners] Able to create a TP with invalid value to published field, which is considering by default the value as false. ",2025-08-04T20:02:10.983+0530,,Open,P2,S3,GoldenDataSet;Schema,EDI,Production/Escaped (Internal),,True
IO-141213,Prod NA& EU: Getting errors with message as The WSDL version being used requires Token Based Authentication(TBA),2025-08-04T19:30:34.542+0530,,Open,P3,S2,,Adaptor,Production/Escaped (Internal),,True
IO-141208,Analyse and figure out issues with Error-notification v40/v50 tag,2025-08-04T18:35:16.660+0530,,Analysis,P2,S2,,Core-kcgw-error-notification,Post Deployment,,False
IO-141157,Filter label is showing wrong ,2025-08-04T16:42:49.507+0530,,Pending deployment,P2,S2,ReportedByAutomation;prodExist,UI,Automation Test,,False
IO-141156,Resource deletion - Deadlock preventing further deletion of resources,2025-08-04T16:16:14.359+0530,,Open,P4,S4,,UI - Resources,Production/Escaped (Customer),,True
IO-141155,"[FMS] Getting 500 Server error when making PUT call on ""flows"", with invalid input to routers & branches sub-schemas in the request. ",2025-08-04T15:56:38.577+0530,,Open,P2,S3,GoldenDataSet;RMS,Core-RMS,Production/Escaped (Internal),,True
IO-141153,Test mode run button is enabled for flows with AS2 exports,2025-08-04T15:45:41.312+0530,,Open,P2,S2,PM_Triaged,UI - Flow Debugger,Component Test,,False
IO-141141,"[FTP] Invalid ""PORT"" with value ""0"" is being accepted while creating a FTP, and the connection doc is not retaining the PORT field itself.",2025-08-04T13:29:28.924+0530,,Open,P2,S3,FTP;GoldenDataSet,FTP Bridge,Production/Escaped (Internal),,True
IO-141132,"when creating IO connection in prod, the baseUri is getting updated",2025-08-04T11:59:30.380+0530,,Open,P2,S2,,Connector framework,Production/Escaped (Internal),,True
IO-141131,"Able to create an iClient with ""custom_oauth2"" as provider, but without ""oauth2"" schema in the request body",2025-08-04T11:48:09.782+0530,,Open,P3,S3,GoldenDataSet;HTTPAdaptor,HTTP Adaptor,Production/Escaped (Internal),,True
IO-141126,Preview is failing in Imports (when hooks are configured),2025-08-04T11:33:53.417+0530,,Open,P2,S3,,UI,Regression/PST Test,,False
IO-141125,Flowbuilder page is scrolling out of screen,2025-08-04T11:22:09.918+0530,2025-08-07T11:36:20.634+0530,Pending Release,P2,S2,ReportedByAutomation;regression,UI - Usability,Automation Test,,False
IO-141116,"Prod-NA: 'Health check error: Target service is taking long time to respond.\n' + '[timeout of 300000ms exceeded]',",2025-08-04T10:52:01.139+0530,2025-08-06T09:35:46.159+0530,Pending Release,P1,S1,,Adaptor,Production/Escaped (Internal),,True
IO-141095,Salesforce export incorrectly accepts bulk as an array — should return validation error,2025-08-04T08:48:53.309+0530,,Open,P3,S3,GoldenDataSet;SalesforceAdaptor,Adaptor,Deep Functional Test,,False
IO-141085,"Prod NA: level=error, Trace",2025-08-03T12:31:18.222+0530,,Analysis,P2,S2,,Adaptor,Production/Escaped (Internal),,True
